"pcp-dstat 6.2.0 CSV Output"
"Author:";"PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>";;;;"URL:";"https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:";"r-snort";;;;"User:";"snort-lab"
"Cmdline:";"dstat -tcvmndr --output snort_on.csv";;;;"Date:";"01 Apr 2025 04:34:06 CEST"
"system";"total usage";;;;;"procs";;;"memory usage";;;;"paging";;"dsk/total";;"system";;"net/total";;"io/total";
01-04 04:34:32;0.500;0.250;99.753;0;0;0;0;0;1902956;1981528;154624;3856044;0;0;0;0;1326;2265;2445.077;794.025;0;0
01-04 04:34:33;0.250;0.750;98.495;0;0;2;0;10.000;1902928;1981528;154624;3856072;0;0;0;0;1463;2307;1673.916;647.968;0;0
01-04 04:34:34;0.250;0.750;99.000;0;0;0;0;5.000;1902928;1981528;154624;3856072;0;0;0;0;1442;2328;9726.031;672.002;0;0
01-04 04:34:35;0.500;0;99.253;0;0;0;0;0;1902928;1981528;154624;3856072;0;0;0;0;1242;2215;1786.062;632.022;0;0
01-04 04:34:36;0;0.250;99.251;0;0;0;0;0;1902924;1981528;154624;3856076;0;0;0;20.000;1331;2291;6839.051;802.006;0;2.000
01-04 04:34:37;0.250;0;99.750;0;0;0;0;0;1902924;1981528;154624;3856076;0;0;0;8.000;1314;2286;3798.991;793.998;0;2.000
01-04 04:34:38;0.500;2.000;97.249;0;0;0;0;10.000;1902924;1981528;154624;3856076;0;0;0;0;1675;2488;3175.955;889.987;0;0
01-04 04:34:39;0.500;0.250;98.998;0;0;0;0;5.000;1902924;1981528;154624;3856076;0;0;0;0;1365;2270;1843.966;655.988;0;0
01-04 04:34:40;0;0.250;98.005;1.750;0;0;0;1.000;1902924;1981528;154624;3856076;0;0;0;252.013;1525;2488;1452.072;640.032;0;51.003
01-04 04:34:41;0;0.250;98.999;0;0;0;0;0;1902924;1981528;154624;3856076;0;0;0;55.999;1326;2278;7724.919;817.991;0;8.000
01-04 04:34:42;0.250;0.500;99.753;0;0;0;0;0;1902924;1981528;154624;3856076;0;0;0;0;1259;2214;2636.068;786.020;0;0
01-04 04:34:43;0.500;1.000;98.243;0;0;0;0;10.999;1902924;1981528;154624;3856076;0;0;0;4.000;1557;2397;4346.679;655.952;0;1.000
01-04 04:34:44;0.500;0.250;99.004;0;0;0;0;5.000;1902920;1981528;154624;3856080;0;0;0;0;1497;2433;4227.167;648.026;0;0
01-04 04:34:45;0;0.250;99.502;0;0;0;0;0;1902920;1981528;154624;3856080;0;0;0;0;1255;2223;1534.031;640.013;0;0
01-04 04:34:46;0.250;0;98.996;0.250;0;0;0;0;1902920;1981528;154624;3856080;0;0;0;27.999;1370;2341;12746.537;785.971;0;2.000
01-04 04:34:47;0.250;0;99.502;0;0;0;0;0;1902920;1981528;154624;3856080;0;0;0;0;1247;2218;9076.201;786.017;0;0
01-04 04:34:48;0.500;1.000;98.496;0;0;0;0;10.000;1902920;1981528;154624;3856080;0;0;0;0;1498;2355;2712.894;631.975;0;0
01-04 04:34:49;0.250;0.750;98.504;0.500;0;0;0;5.000;1902920;1981528;154624;3856080;0;0;0;168.007;1674;2513;3330.138;648.027;0;38.002
01-04 04:34:50;0.500;0;99.499;0;0;0;0;0;1902920;1981528;154624;3856080;0;0;0;0;1280;2261;2942.977;719.994;0;0
01-04 04:34:51;0.500;0;99.249;0.250;0;0;0;0;1902920;1981528;154624;3856080;0;0;0;44.000;1434;2437;7080.935;971.991;0;7.000
01-04 04:34:52;0.250;0.250;99.246;0;0;1;0;0;1902920;1981528;154624;3856080;0;0;0;0;1339;2365;6101.740;809.966;0;0
01-04 04:34:53;0.500;1.000;97.996;0;0;0;0;10.000;1902860;1981588;154624;3856080;0;0;0;0;1655;2503;6217.735;671.971;0;0
01-04 04:34:54;0.250;0.750;99.009;0;0;1;0;5.000;1903112;1981336;154624;3856080;0;0;0;0;1541;2492;6366.556;640.056;0;0
01-04 04:34:55;0.250;1.000;98.503;0;0;0;0;0;1903112;1981336;154624;3856080;0;0;0;4.000;1532;2471;5954.171;648.019;0;1.000
01-04 04:34:56;0.250;0;98.750;0.250;0;0;0;0;1903112;1981336;154624;3856080;0;0;0;36.000;1473;2431;6324.012;802.002;0;3.000
01-04 04:34:57;0.750;0;99.246;0;0;0;0;0;1903112;1981336;154624;3856080;0;0;0;0;1455;2405;6207.725;777.966;0;0
01-04 04:34:58;0.250;1.250;98.250;0;0;0;0;10.000;1903616;1980832;154624;3856080;0;0;0;0;1569;2500;6075.998;648.000;0;0
01-04 04:34:59;0.250;0.500;98.500;0;0;0;0;6.000;1903616;1980832;154624;3856080;0;0;0;0;1597;2528;6595.969;745.997;0;0
01-04 04:35:00;0.500;0.250;99.752;0;0;0;0;0;1903616;1980832;154624;3856080;0;0;0;0;1454;2416;6166.099;640.010;0;0
01-04 04:35:01;0.500;0.250;98.749;0.500;0;0;0;1.000;1903616;1980832;154624;3856080;0;0;0;59.999;1571;2536;8128.911;1211.987;0;9.000
01-04 04:35:02;0.500;0.250;98.751;0;0;0;0;3.000;1903616;1980832;154624;3856080;0;0;0;0;1600;2500;7430.096;810.010;0;0
01-04 04:35:03;0.500;1.000;98.498;0;0;0;0;10.000;1903868;1980580;154624;3856080;0;0;0;31.999;1703;2556;12768.767;639.988;0;1.000
01-04 04:35:04;0.750;0.500;98.503;0;0;0;0;5.000;1903868;1980580;154624;3856080;0;0;0;0;1550;2568;8566.251;648.019;0;0
01-04 04:35:05;0.250;0.250;99.498;0;0;0;0;0;1903868;1980580;154624;3856080;0;0;0;0;1385;2432;6472.885;655.988;0;0
01-04 04:35:06;0.250;0;98.754;0;0;0;0;0;1903868;1980580;154624;3856080;0;0;0;64.003;1388;2448;6308.273;802.035;0;3.000
01-04 04:35:07;0.250;0.500;98.997;0.250;0;0;0;0;1903868;1980580;154624;3856080;0;0;0;187.994;1577;2590;6299.783;777.973;0;39.999
01-04 04:35:08;0.750;1.250;98.248;0;0;0;0;10.000;1903868;1980580;154624;3856080;0;0;0;0;1784;2615;12277.806;647.990;0;0
01-04 04:35:09;0.250;0.500;99.001;0;0;0;0;5.000;1904120;1980328;154624;3856080;0;0;0;0;1632;2512;6496.093;632.009;0;0
01-04 04:35:10;0.250;0.250;99.003;0;0;0;0;0;1904116;1980328;154624;3856084;0;0;0;0;1464;2424;6188.215;640.022;0;0
01-04 04:35:11;0.250;1.000;98.249;0.250;0;1;0;0;1904368;1980076;154624;3856084;0;0;0;16.000;1659;2579;7143.909;1261.984;0;2.000
01-04 04:35:12;0.500;0;99.252;0;0;0;0;0;1904368;1980076;154624;3856084;0;0;0;0;1355;2424;6640.104;956.015;0;0
01-04 04:35:13;0.500;1.250;97.997;0;0;0;0;10.000;1905228;1979216;154624;3856084;0;0;0;8.000;1612;2552;6067.789;639.978;0;2.000
01-04 04:35:14;0.500;0.250;99.002;0;0;0;0;5.000;1905228;1979216;154624;3856084;0;0;0;0;1542;2568;7865.163;1110.023;0;0
01-04 04:35:15;0.750;0.250;98.246;0.250;0;0;0;2.000;1905228;1979216;154624;3856084;0;0;0;39.998;1577;2539;6711.731;955.962;0;3.000
01-04 04:35:16;0.250;0;99.001;0;0;0;0;0;1905228;1979216;154624;3856084;0;0;0;16.000;1540;2510;11695.175;1118.017;0;4.000
01-04 04:35:17;0.500;0.500;99.502;0;0;0;0;0;1905228;1979216;154624;3856084;0;0;0;0;1524;2482;6852.148;1110.024;0;0
01-04 04:35:18;0.750;0.750;97.999;0;0;0;0;10.000;1905540;1978904;154624;3856084;0;0;0;0;1725;2571;6687.898;947.986;0;0
01-04 04:35:19;0.500;0.500;98.750;0;0;0;0;5.000;1905484;1978960;154624;3856084;0;0;0;4.000;1671;2569;7306.030;1092.005;0;1.000
01-04 04:35:20;0.250;0.250;98.998;0;0;0;0;0;1905736;1978708;154624;3856084;0;0;0;0;1492;2476;6735.831;963.976;0;0
01-04 04:35:21;0.500;0.250;99.251;0;0;0;0;0;1906240;1978204;154624;3856084;0;0;0;20.000;1501;2469;7234.046;1086.007;0;2.000
01-04 04:35:22;0.250;0.250;99.506;0;0;0;0;0;1906240;1978204;154624;3856084;0;0;0;0;1482;2451;6924.397;1110.064;0;0
01-04 04:35:23;0.750;1.000;98.241;0;0;0;0;9.999;1909516;1974928;154624;3856084;0;0;0;0;1699;2550;6679.416;939.918;0;0
01-04 04:35:24;0.250;0.250;98.756;0;0;0;0;5.000;1907368;1977076;154624;3856084;0;0;0;0;1693;2579;7685.445;1084.063;0;0
01-04 04:35:25;0.500;0.250;99.247;0;0;0;0;0;1907384;1977060;154624;3856084;0;0;0;4.000;1517;2472;6711.802;955.972;0;1.000
01-04 04:35:26;0;0;99.252;0;0;0;0;0;1907888;1976556;154624;3856084;0;0;0;24.000;1507;2478;6904.133;1086.021;0;4.000
01-04 04:35:27;0.500;0.500;99.000;0;0;0;0;0;1908080;1976364;154624;3856084;0;0;0;0;1532;2471;7521.012;1240.002;0;0
01-04 04:35:28;0.250;2.250;97.247;0;0;0;0;10.000;1909340;1975104;154624;3856084;0;0;0;0;1904;2693;6854.823;939.976;0;0
01-04 04:35:29;0.750;0.500;98.494;0;0;0;0;5.000;1909340;1975104;154624;3856084;0;0;0;0;1583;2579;7215.589;1017.942;0;0
01-04 04:35:30;0;0;99.261;0;0;0;0;0;1909356;1975104;154624;3856084;0;0;0;0;1539;2489;6634.768;940.109;0;0
01-04 04:35:31;0.500;0.250;99.248;0.500;0;0;0;0;1909356;1975104;154624;3856084;0;0;0;20.000;1512;2484;6833.863;1077.978;0;3.000
01-04 04:35:32;0.250;0.250;98.755;0;0;0;0;0;1908804;1975656;154624;3856084;0;0;0;0;1522;2538;7026.356;1086.055;0;0
01-04 04:35:33;1.000;1.250;97.990;0;0;0;0;9.999;1908772;1975656;154624;3856116;0;0;0;7.999;1765;2573;6883.321;955.906;0;2.000
01-04 04:35:34;0;0.500;98.747;0;0;1;0;5.000;1908772;1975656;154624;3856116;0;0;0;35.999;1560;2550;7009.803;955.973;0;1.000
01-04 04:35:35;0.500;0.250;99.508;0;0;0;0;0;1908772;1975656;154624;3856116;0;0;0;0;1509;2468;6932.531;972.074;0;0
01-04 04:35:36;0.250;0.750;98.749;0;0;0;0;0;1909020;1975404;154628;3856116;0;0;0;63.999;1476;2517;6941.901;1101.984;0;9.000
01-04 04:35:37;0.250;0;99.501;0;0;0;0;0;1909020;1975404;154628;3856116;0;0;0;4.000;1528;2464;6962.051;1158.009;0;1.000
01-04 04:35:38;0.750;1.000;97.745;0;0;0;0;9.999;1909272;1975152;154628;3856116;0;0;0;0;1756;2595;6657.657;947.951;0;0
01-04 04:35:39;0;0.500;99.003;0;0;0;0;5.000;1909776;1974648;154628;3856116;0;0;0;0;1647;2558;7222.202;994.028;0;0
01-04 04:35:40;0.500;0.250;99.501;0;0;0;0;0;1909776;1974648;154628;3856116;0;0;0;0;1534;2487;7116.055;1110.009;0;0
01-04 04:35:41;0.250;0;98.750;0;0;0;0;0;1910028;1974396;154628;3856116;0;0;0;16.000;1537;2497;6904.011;1086.002;0;2.000
01-04 04:35:42;0.250;0.250;99.249;0;0;0;0;0;1910532;1973892;154628;3856116;0;0;0;0;1512;2465;6919.939;1101.990;0;0
01-04 04:35:43;0.750;1.000;98.248;0;0;0;0;10.000;1910832;1973592;154628;3856116;0;0;0;0;1720;2571;6695.837;955.977;0;0
01-04 04:35:44;0.750;1.500;97.499;0;0;0;0;5.000;1911900;1972524;154628;3856116;0;0;0;0;1814;2674;7462.953;939.994;0;0
01-04 04:35:45;0.250;0;99.502;0;0;0;0;0;1911896;1972524;154628;3856120;0;0;0;0;1448;2467;7485.186;956.024;0;0
01-04 04:35:46;0.250;0;98.753;0.500;0;0;0;0;1911892;1972524;154632;3856120;0;0;0;20.001;1524;2535;6904.238;1086.037;0;3.000
01-04 04:35:47;0.500;0.500;99.500;0;0;0;0;0;1912144;1972272;154632;3856120;0;0;0;0;1504;2452;7061.970;1085.995;0;0
01-04 04:35:48;0.500;0.750;97.744;0;0;0;0;10.999;1913724;1970692;154632;3856120;0;0;0;0;1750;2595;6679.615;939.946;0;0
01-04 04:35:49;0.750;0.750;99.003;0;0;0;0;5.000;1913468;1970948;154632;3856120;0;0;0;0;1670;2548;7172.226;964.030;0;0
01-04 04:35:50;0.500;0.500;99.255;0;0;0;0;0;1913468;1970948;154632;3856120;0;0;0;0;1392;2443;6780.323;948.045;0;0
01-04 04:35:51;0.250;0;98.994;0.250;0;0;0;0;1914224;1970192;154632;3856120;0;0;0;15.999;1415;2481;6903.595;1085.936;0;2.000
01-04 04:35:52;0;0.250;99.001;0;0;0;0;0;1914224;1970192;154632;3856120;0;0;0;0;1384;2449;6812.100;1086.016;0;0
01-04 04:35:53;0.750;0.750;98.246;0;0;0;0;10.000;1915528;1968888;154632;3856120;0;0;0;0;1656;2608;7091.737;1101.959;0;0
01-04 04:35:54;0.250;0.750;98.505;0;0;0;0;5.000;1915756;1968660;154632;3856120;0;0;0;0;1661;2564;7040.393;940.052;0;0
01-04 04:35:55;0.250;0;99.501;0;0;0;0;0;1915480;1968936;154632;3856120;0;0;0;0;1518;2484;7408.105;1220.017;0;0
01-04 04:35:56;0.250;0.500;98.997;0;0;0;0;0;1915452;1968964;154632;3856120;0;0;0;19.999;1594;2552;10904.652;1109.965;0;3.000
01-04 04:35:57;1.000;0;99.000;0;0;0;0;0;1915452;1968964;154632;3856120;0;0;0;0;1520;2477;6851.999;1110.000;0;0
01-04 04:35:58;0.500;1.000;98.502;0;0;0;0;10.000;1915844;1968572;154632;3856120;0;0;0;0;1741;2587;6704.119;964.017;0;0
01-04 04:35:59;0.500;0.500;98.501;0;0;0;0;5.000;1915792;1968624;154632;3856120;0;0;0;0;1649;2546;7270.048;1026.007;0;0
01-04 04:36:00;0.250;1.250;98.498;0;0;0;0;0;1916268;1968148;154632;3856120;0;0;0;0;1640;2562;6989.879;963.983;0;0
01-04 04:36:01;0.250;0;98.751;0.250;0;0;0;0;1916768;1967644;154636;3856120;0;0;0;16.000;1526;2506;7310.045;1126.007;0;2.000
01-04 04:36:02;0;0.500;99.498;0;0;0;0;0;1916768;1967644;154636;3856120;0;0;0;0;1482;2450;6859.844;1117.975;0;0
01-04 04:36:03;1.000;0.500;98.248;0;0;0;0;10.000;1918080;1966332;154636;3856120;0;0;0;0;1744;2588;7311.878;1101.982;0;0
01-04 04:36:04;0.500;0.500;98.755;0;0;0;0;5.000;1918076;1966336;154636;3856120;0;0;0;0;1622;2550;7240.350;956.046;0;0
01-04 04:36:05;0.500;0;98.999;0;0;0;0;0;1918076;1966336;154636;3856120;0;0;0;4.000;1502;2467;6943.943;939.992;0;1.000
01-04 04:36:06;0.250;0.750;99.000;0;0;0;0;0;1918076;1966336;154636;3856120;0;0;0;20.000;1559;2533;6919.988;1085.998;0;3.000
01-04 04:36:07;0.250;0;99.249;0;0;0;0;0;1918076;1966336;154636;3856120;0;0;0;0;1472;2448;6819.933;1093.989;0;0
01-04 04:36:08;1.000;1.000;98.497;0;0;0;0;10.000;1919156;1965256;154636;3856120;0;0;0;8.000;1741;2586;6679.810;939.973;0;2.000
01-04 04:36:09;0.750;0.250;98.253;0;0;0;0;5.000;1918096;1966316;154636;3856120;0;0;0;0;1678;2561;7104.206;988.029;0;0
01-04 04:36:10;0;0.500;99.502;0;0;0;0;0;1917924;1966488;154636;3856120;0;0;0;0;1473;2449;6734.116;948.016;0;0
01-04 04:36:11;0.500;0.250;98.996;0.250;0;0;0;0;1917748;1966664;154636;3856120;0;0;0;23.999;1526;2499;6895.723;1077.957;0;2.000
01-04 04:36:12;0.250;0.250;99.004;0;0;0;0;0;1918504;1965908;154636;3856120;0;0;0;0;1409;2473;7099.308;1102.048;0;0
01-04 04:36:13;0.750;0.500;98.244;0;0;0;0;9.999;1921212;1963200;154636;3856120;0;0;0;0;1612;2573;7068.599;939.947;0;0
01-04 04:36:14;0;0.750;98.755;0;0;0;0;5.000;1921364;1963048;154636;3856120;0;0;0;0;1538;2559;7341.371;940.047;0;0
01-04 04:36:15;0.750;0;99.246;0;0;1;0;0;1919560;1964852;154636;3856120;0;0;0;0;1510;2450;6701.747;931.965;0;0
01-04 04:36:16;0.250;0.250;99.251;0.250;0;0;0;0;1919508;1964904;154636;3856120;0;0;0;28.000;1495;2543;7294.085;1256.015;0;5.000
01-04 04:36:17;0.250;0;99.003;0;0;0;0;0;1919156;1965256;154636;3856120;0;0;0;0;1516;2484;6830.219;1118.036;0;0
01-04 04:36:18;0.750;2.000;97.248;0;0;0;0;10.000;1922380;1962032;154636;3856120;0;0;0;0;1868;2673;6609.871;931.982;0;0
01-04 04:36:19;0.250;0.750;99.000;0;0;0;0;5.000;1921256;1963156;154636;3856120;0;0;0;0;1625;2539;7042.033;972.005;0;0
01-04 04:36:20;0.750;0;98.753;0;0;0;0;0;1921184;1963224;154636;3856124;0;0;0;0;1373;2436;6618.223;940.032;0;0
01-04 04:36:21;0.250;0.250;99.249;0.250;0;0;0;0;1921180;1963224;154640;3856124;0;0;0;16.000;1552;2521;6873.934;1101.989;0;2.000
01-04 04:36:22;0.250;0.250;99.251;0;0;0;0;0;1922636;1961768;154640;3856124;0;0;0;0;1402;2465;6812.037;1086.006;0;0
01-04 04:36:23;0.250;1.000;98.246;0;0;0;0;10.000;1922780;1961624;154640;3856124;0;0;0;0;1629;2572;6679.723;939.961;0;0
01-04 04:36:24;0.500;0.750;98.751;0;0;0;0;5.000;1923172;1961232;154640;3856124;0;0;0;0;1682;2560;7299.097;940.012;0;0
01-04 04:36:25;0.500;0;99.000;0;0;0;0;0;1923172;1961232;154640;3856124;0;0;0;0;1521;2464;6788.004;956.001;0;0
01-04 04:36:26;0.500;0.500;99.501;0.250;0;0;0;0;1923172;1961232;154640;3856124;0;0;0;28.000;1563;2512;6904.035;1086.006;0;4.000
01-04 04:36:27;0.250;0.250;98.995;0;0;0;0;0;1923172;1961232;154640;3856124;0;0;0;0;1495;2448;6859.656;1101.945;0;0
01-04 04:36:28;0.500;0.750;98.252;0;0;0;0;10.000;1923928;1960476;154640;3856124;0;0;0;0;1769;2577;6794.139;996.020;0;0
01-04 04:36:29;0.500;0.750;98.753;0;0;0;0;5.000;1925236;1959168;154640;3856124;0;0;0;0;1726;2612;7764.272;1218.043;0;0
01-04 04:36:30;0.250;0.250;99.248;0;0;0;0;0;1925076;1959328;154640;3856124;0;0;0;0;1524;2466;7130.856;955.981;0;0
01-04 04:36:31;0.500;0;99.252;0;0;0;0;0;1925520;1958884;154640;3856124;0;0;0;16.000;1528;2492;6904.139;1086.022;0;2.000
01-04 04:36:32;0.750;0.500;98.246;0;0;0;0;0;1926024;1958380;154640;3856124;0;0;0;0;1606;2558;6819.737;1093.958;0;0
01-04 04:36:33;0.500;1.250;98.500;0;0;0;0;10.000;1928260;1956144;154640;3856124;0;0;0;0;1731;2574;6703.991;947.999;0;0
01-04 04:36:34;0;1.500;97.749;0;0;0;0;5.000;1928116;1956256;154640;3856156;0;0;0;0;1817;2655;7055.942;955.992;0;0
01-04 04:36:35;0.750;0;99.003;0;0;0;0;0;1928116;1956256;154640;3856156;0;0;0;0;1392;2456;6680.226;940.032;0;0
01-04 04:36:36;0;0;98.750;0.250;0;0;0;0;1928112;1956256;154644;3856156;0;0;0;28.000;1604;2576;17807.084;1070.005;0;4.000
01-04 04:36:37;0.250;0.250;99.499;0;0;0;0;0;1928112;1956256;154644;3856156;0;0;0;0;1536;2483;6943.931;1093.989;0;0
01-04 04:36:38;0.500;1.250;98.499;0;0;0;0;10.000;1928520;1955848;154644;3856156;0;0;0;0;1705;2561;6671.906;931.987;0;0
01-04 04:36:39;0.500;0.500;98.499;0;0;0;0;5.000;1928772;1955596;154644;3856156;0;0;0;8.000;1652;2551;7007.962;939.995;0;2.000
01-04 04:36:40;0.250;0.500;99.252;0;0;0;0;0;1928772;1955596;154644;3856156;0;0;0;0;1447;2397;5595.099;956.017;0;0
01-04 04:36:41;0.500;0;99.254;0;0;0;0;0;1928740;1955628;154644;3856156;0;0;0;32.001;1320;2300;2428.092;1102.042;0;2.000
01-04 04:36:42;0.250;0.250;99.248;0;0;0;0;0;1928708;1955660;154644;3856156;0;0;0;0;1326;2295;2639.939;1247.971;0;0
01-04 04:36:43;0.250;1.000;98.250;0;0;0;0;10.000;1936760;1947608;154644;3856156;0;0;0;0;1539;2383;8152.973;939.997;0;0
01-04 04:36:44;0.500;0.250;98.748;0;0;0;0;6.000;1936492;1947876;154644;3856156;0;0;0;0;1461;2376;3278.927;1009.978;0;0
01-04 04:36:45;0;0.250;99.750;0;0;0;0;0;1936612;1947756;154644;3856156;0;0;0;0;1305;2299;3466.001;964.000;0;0
01-04 04:36:46;0.250;0.500;99.003;0.500;0;0;0;0;1936608;1947756;154644;3856160;0;0;0;60.002;1440;2482;3229.097;1086.033;0;10.000
01-04 04:36:47;0;0;99.250;0;0;0;0;0;1936608;1947756;154644;3856160;0;0;0;0;1282;2260;2980.012;1126.004;0;0
01-04 04:36:48;0.750;1.000;98.499;0;0;0;0;10.000;1937868;1946496;154644;3856160;0;0;0;0;1538;2378;2071.975;931.989;0;0
01-04 04:36:49;0.250;0.500;99.251;0;0;0;0;5.000;1936624;1947740;154644;3856160;0;0;0;0;1442;2354;3200.031;1252.012;0;0
01-04 04:36:50;0.250;0;98.999;0;0;0;0;0;1936624;1947740;154644;3856160;0;0;0;0;1296;2265;9791.940;963.994;0;0
01-04 04:36:51;0;1.000;96.752;2.250;0;0;0;1.000;1936216;1948144;154648;3856160;0;0;0;260.006;1708;2642;2312.052;1094.025;0;54.001
01-04 04:36:52;0.750;0;99.000;0;0;0;0;0;1936216;1948144;154648;3856160;0;0;0;0;1371;2328;4134.982;1279.994;0;0
01-04 04:36:53;0.250;1.250;98.248;0;0;0;0;10.000;1930052;1954308;154648;3856160;0;0;0;0;1508;2366;2449.938;963.976;0;0
01-04 04:36:54;0.500;0.250;99.250;0;0;0;0;5.000;1929744;1954612;154648;3856164;0;0;0;0;1447;2365;3043.985;947.995;0;0
01-04 04:36:55;0;0.250;99.503;0;0;0;0;0;1929744;1954612;154648;3856164;0;0;0;0;1278;2254;2887.082;924.026;0;0
01-04 04:36:56;0.500;0;99.248;0;0;0;0;0;1929744;1954612;154648;3856164;0;0;0;0;1294;2278;2641.947;1077.978;0;0
01-04 04:36:57;0;0.250;99.499;0;0;0;0;0;1929740;1954612;154652;3856164;0;0;0;24.000;1305;2280;2734.985;1069.994;0;2.000
01-04 04:36:58;0.250;1.000;98.250;0;0;0;0;10.000;1929536;1954816;154652;3856164;0;0;0;0;1529;2386;2616.994;939.998;0;0
01-04 04:36:59;0.750;0.750;98.999;0;0;0;0;5.000;1928772;1955572;154652;3856172;0;0;0;0;1507;2457;2859.972;931.991;0;0
01-04 04:37:00;0;0;99.500;0;0;0;0;0;1928824;1955520;154652;3856172;0;0;0;0;1276;2248;2458.011;956.004;0;0
01-04 04:37:01;0.250;0;99.500;0;0;0;0;0;1928824;1955520;154652;3856172;0;0;0;0;1290;2286;2983.009;1086.003;0;0
