"pcp-dstat 6.2.0 CSV Output"
"Author:";"PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>";;;;"URL:";"https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:";"r-snort";;;;"User:";"snort-lab"
"Cmdline:";"dstat -tcvmndr --output snort_off.csv";;;;"Date:";"01 Apr 2025 04:39:53 CEST"
"system";"total usage";;;;;"procs";;;"memory usage";;;;"paging";;"dsk/total";;"system";;"net/total";;"io/total";
01-04 04:40:24;0.250;0;99.998;0;0;0;0;0;1829452;2054552;154684;3856476;0;0;0;0;190;217;2063.968;939.986;0;0
01-04 04:40:25;0;0.250;99.504;0;0;0;0;0;1829452;2054552;154684;3856476;0;0;0;32.001;246;282;2506.090;986.035;0;2.000
01-04 04:40:26;0.250;1.000;98.752;0;0;0;0;0;1829452;2054552;154684;3856476;0;0;0;32.001;394;400;2512.039;1094.017;0;7.000
01-04 04:40:27;0.750;1.000;98.495;0;0;0;0;9.999;1829956;2054048;154684;3856476;0;0;0;8.000;519;418;12464.370;1077.946;0;1.000
01-04 04:40:28;0.250;0.250;99.000;0;0;0;0;5.000;1829956;2054048;154684;3856476;0;0;0;0;358;314;8649.012;964.001;0;0
01-04 04:40:29;0.250;0;100.003;0;0;0;0;0;1829956;2054048;154684;3856476;0;0;0;0;231;253;2783.090;932.030;0;0
01-04 04:40:30;0;0;99.502;0.500;0;0;0;0;1829956;2054048;154684;3856476;0;0;0;24.000;242;266;2734.052;1032.020;0;2.000
01-04 04:40:31;0.250;0;99.499;0;0;0;0;0;1829956;2054048;154684;3856476;0;0;0;0;254;275;3745.963;1101.989;0;0
01-04 04:40:32;0.250;1.250;98.254;0;0;0;0;10.000;1830208;2053796;154684;3856476;0;0;0;0;570;442;4276.160;1248.047;0;0
01-04 04:40:33;0.250;0.250;99.493;0;0;0;0;5.000;1830176;2053796;154684;3856508;0;0;0;0;357;322;2231.843;955.933;0;0
01-04 04:40:34;0.250;0;99.502;0;0;0;0;0;1830176;2053796;154684;3856508;0;0;0;0;203;226;2640.065;940.023;0;0
01-04 04:40:35;0;0;99.499;0;0;0;0;0;1830176;2053796;154684;3856508;0;0;0;36.000;286;315;10503.912;1301.989;0;6.000
01-04 04:40:36;0.750;0;99.501;0;0;0;0;0;1830176;2053796;154684;3856508;0;0;0;0;282;272;115705.698;1094.016;0;0
01-04 04:40:37;0;1.250;98.745;0;0;0;0;9.999;1830680;2053292;154684;3856508;0;0;0;0;511;401;3331.833;1085.946;0;0
01-04 04:40:38;0.250;0;99.503;0;0;0;0;5.000;1830680;2053292;154684;3856508;0;0;0;0;375;323;2888.076;972.025;0;0
01-04 04:40:39;0;0.250;100.001;0;0;0;0;0;1830680;2053292;154684;3856508;0;0;0;0;231;249;2088.029;1012.014;0;0
01-04 04:40:40;0;0.250;99.000;0.250;0;0;0;0;1830680;2053292;154684;3856508;0;0;0;16.000;243;283;2645.009;994.003;0;2.000
01-04 04:40:41;0.250;0;99.751;0;0;0;0;0;1830680;2053292;154684;3856508;0;0;0;0;254;285;3686.036;1102.011;0;0
01-04 04:40:42;0.250;1.750;97.744;0;0;0;0;9.999;1830680;2053292;154684;3856508;0;0;0;0;599;485;2203.858;1093.929;0;0
01-04 04:40:43;0.500;0.250;99.252;0;0;0;0;5.000;1830932;2053040;154684;3856508;0;0;0;0;367;332;2088.041;948.019;0;0
01-04 04:40:44;0;0;99.756;0;0;0;0;0;1830932;2053040;154684;3856508;0;0;0;0;206;235;2327.132;932.053;0;0
01-04 04:40:45;0.250;0.250;99.499;0.250;0;0;0;0;1830932;2053040;154684;3856508;0;0;0;20.000;310;324;9095.883;1093.986;0;3.000
01-04 04:40:46;0;0;99.750;0;0;0;0;0;1830220;2053752;154684;3856508;0;0;0;4.000;268;285;3877.996;1101.999;0;1.000
01-04 04:40:47;0.500;1.000;98.743;0;0;0;0;9.999;1830220;2053752;154684;3856508;0;0;0;0;455;388;2235.853;1093.928;0;0
01-04 04:40:48;0.250;0.500;99.256;0;0;0;0;5.000;1830220;2053752;154684;3856508;0;0;0;0;386;347;3222.186;1220.070;0;0
01-04 04:40:49;0;0;99.250;0;0;0;0;0;1830220;2053752;154684;3856508;0;0;0;0;218;244;2088.002;948.001;0;0
01-04 04:40:50;0.750;0;99.750;0.250;0;0;0;0;1830220;2053752;154684;3856508;0;0;0;16.000;248;271;3685.016;1056.004;0;2.000
01-04 04:40:51;0;0.250;100.000;0;0;0;0;0;1830220;2053752;154684;3856508;0;0;0;0;235;274;2335.995;1101.998;0;0
01-04 04:40:52;0;0.750;98.499;0;0;0;0;10.000;1830220;2053752;154684;3856508;0;0;0;0;479;376;2211.967;1085.984;0;0
01-04 04:40:53;0.250;0.250;99.249;0;0;0;0;5.000;1830220;2053752;154684;3856508;0;0;0;0;369;327;9552.922;947.992;0;0
01-04 04:40:54;0.250;0;99.753;0;0;0;0;0;1830220;2053752;154684;3856508;0;0;0;0;210;240;2088.068;948.031;0;0
01-04 04:40:55;0.250;0.250;99.249;0;0;0;0;0;1830220;2053752;154684;3856508;0;0;0;20.000;259;287;3213.984;1031.995;0;3.000
01-04 04:40:56;0.250;0;100.001;0;0;0;0;0;1830220;2053752;154684;3856508;0;0;0;0;266;285;4112.036;1256.011;0;0
01-04 04:40:57;0.750;0.750;98.244;0;0;0;0;9.999;1830220;2053752;154684;3856508;0;0;0;0;525;395;5151.703;1077.938;0;0
01-04 04:40:58;0;1.250;98.771;0;0;0;0;5.001;1830220;2053752;154684;3856508;0;0;0;4.001;615;460;6972.516;972.211;0;1.000
01-04 04:40:59;0;0.250;99.233;0;0;0;0;2.000;1830216;2053752;154684;3856512;0;0;0;0;361;280;6962.829;1061.821;0;0
01-04 04:41:00;0;0;99.502;0.500;0;0;0;0;1830216;2053752;154684;3856512;0;0;0;16.000;315;276;7108.128;1018.018;0;2.000
01-04 04:41:01;0.250;0;99.498;0;0;0;0;0;1830216;2053752;154684;3856512;0;0;0;0;327;281;6929.871;1125.979;0;0
01-04 04:41:02;0.750;1.000;98.747;0;0;0;0;10.000;1830468;2053500;154684;3856512;0;0;0;0;586;392;7239.781;1093.967;0;0
01-04 04:41:03;0;0;99.250;0;0;0;0;5.000;1830468;2053500;154684;3856512;0;0;0;40.000;480;352;6795.998;964.000;0;2.000
01-04 04:41:04;0.250;0;99.755;0;0;0;0;0;1830468;2053500;154684;3856512;0;0;0;0;311;243;6796.349;948.049;0;0
01-04 04:41:05;0;0.250;99.495;0;0;0;0;0;1830468;2053500;154684;3856512;0;0;0;63.997;399;341;7231.643;1047.948;0;9.000
01-04 04:41:06;0;0.250;99.500;0;0;0;0;0;1830468;2053500;154684;3856512;0;0;0;0;337;282;7220.020;1094.003;0;0
01-04 04:41:07;0.750;0.500;98.498;0;0;0;0;10.000;1830468;2053500;154684;3856512;0;0;0;0;570;383;6879.829;1077.973;0;0
01-04 04:41:08;0.500;0.750;99.753;0;0;0;0;5.000;1830468;2053500;154684;3856512;0;0;0;0;470;329;6772.233;940.032;0;0
01-04 04:41:09;0;0;99.250;0;0;0;0;0;1830468;2053500;154684;3856512;0;0;0;0;316;259;7031.965;1117.994;0;0
01-04 04:41:10;0.250;0;99.503;0.250;0;0;0;0;1830464;2053500;154688;3856512;0;0;0;20.001;381;317;10080.271;1002.027;0;2.000
01-04 04:41:11;0;0;99.999;0;0;0;0;0;1830464;2053500;154688;3856512;0;0;0;0;328;272;10279.848;1125.983;0;0
01-04 04:41:12;0.250;0.750;97.997;0;0;0;0;10.000;1830464;2053500;154688;3856512;0;0;0;0;582;390;6803.815;1093.970;0;0
01-04 04:41:13;0.750;0.250;99.752;0;0;0;0;5.000;1830464;2053500;154688;3856512;0;0;0;0;501;340;6780.130;948.018;0;0
01-04 04:41:14;0;0.250;99.252;0;0;0;0;0;1830464;2053500;154688;3856512;0;0;0;0;249;245;3815.094;932.023;0;0
01-04 04:41:15;0.250;0.750;98.748;0.250;0;0;0;0;1830460;2053500;154692;3856512;0;0;0;24.000;422;397;2758.958;1001.985;0;4.000
01-04 04:41:16;0;0.250;99.753;0;0;0;0;0;1830460;2053500;154692;3856512;0;0;0;0;227;259;8140.232;1102.031;0;0
01-04 04:41:17;0.500;0.750;98.494;0;0;0;0;9.999;1830460;2053500;154692;3856512;0;0;0;0;526;391;13770.145;1061.934;0;0
01-04 04:41:18;0.250;0.750;99.753;0;0;0;0;5.000;1830460;2053500;154692;3856512;0;0;0;0;368;333;2080.067;940.030;0;0
01-04 04:41:19;0.250;0;99.000;0;0;0;0;0;1830460;2053500;154692;3856512;0;0;0;0;226;240;3208.006;940.002;0;0
01-04 04:41:20;0;0;99.752;0;0;0;0;0;1830460;2053500;154692;3856512;0;0;0;16.000;253;271;3562.065;1040.019;0;2.000
01-04 04:41:21;0.250;0.250;99.999;0;0;0;0;0;1830460;2053500;154692;3856512;0;0;0;0;256;276;3157.977;1109.992;0;0
01-04 04:41:22;0.250;0.750;98.496;0;0;0;0;10.000;1830460;2053500;154692;3856512;0;0;0;0;507;397;2854.882;1231.949;0;0
01-04 04:41:23;0.500;0.500;99.250;0;0;0;0;5.000;1830460;2053500;154692;3856512;0;0;0;0;368;316;9551.024;956.002;0;0
01-04 04:41:24;0;0;99.755;0;0;0;0;0;1830460;2053500;154692;3856512;0;0;0;0;219;250;2088.104;948.047;0;0
01-04 04:41:25;0.250;0.250;99.246;0.500;0;0;0;0;1830460;2053500;154692;3856512;0;0;0;19.999;276;288;3473.851;977.958;0;3.000
01-04 04:41:26;0;0.250;99.755;0;0;0;0;0;1830460;2053500;154692;3856512;0;0;0;0;243;274;3262.152;1094.051;0;0
01-04 04:41:27;0;0.500;98.741;0;0;0;0;9.999;1830460;2053500;154692;3856512;0;0;0;0;480;389;2355.792;1061.906;0;0
01-04 04:41:28;0.500;0.250;99.252;0;0;0;0;5.000;1830460;2053500;154692;3856512;0;0;0;0;369;316;2104.047;948.021;0;0
01-04 04:41:29;0.250;0.250;99.755;0;0;0;0;0;1830460;2053500;154692;3856512;0;0;0;0;235;256;2164.103;932.045;0;0
01-04 04:41:30;0;0.250;99.501;0;0;0;0;0;1830460;2053500;154692;3856512;0;0;0;16.000;252;281;3224.046;1040.015;0;2.000
01-04 04:41:31;0.500;0;99.748;0;0;0;0;0;1830460;2053500;154692;3856512;0;0;0;0;239;272;2741.948;1085.979;0;0
01-04 04:41:32;0;2.000;97.504;0;0;0;0;10.000;1830460;2053500;154692;3856512;0;0;0;0;667;526;2542.105;1070.044;0;0
01-04 04:41:33;0.500;0.500;98.992;0;0;0;0;5.000;1830424;2053500;154692;3856548;0;0;0;7.999;413;368;2449.793;947.920;0;2.000
01-04 04:41:34;0;0.250;100.005;0;0;0;0;0;1830424;2053500;154692;3856548;0;0;0;36.002;219;250;2474.117;956.045;0;1.000
01-04 04:41:35;0;0;99.249;0.250;0;0;0;0;1830420;2053500;154692;3856552;0;0;0;71.999;318;348;2809.973;1085.990;0;10.000
01-04 04:41:36;0.250;0;99.504;0;0;0;0;0;1830420;2053500;154692;3856552;0;0;0;0;258;288;2682.095;1102.039;0;0
01-04 04:41:37;0.750;0.500;98.744;0;0;0;0;9.999;1830420;2053500;154692;3856552;0;0;0;0;497;395;2541.855;1085.938;0;0
01-04 04:41:38;0;0.500;99.248;0;0;0;0;5.000;1830420;2053500;154692;3856552;0;0;0;8.000;385;331;2509.952;931.982;0;1.000
01-04 04:41:39;0;0.250;99.505;0;0;0;0;0;1830420;2053500;154692;3856552;0;0;0;0;222;247;2450.120;948.046;0;0
01-04 04:41:40;0.500;0;99.750;0;0;0;0;0;1830420;2053500;154692;3856552;0;0;0;24.000;251;270;3259.994;1039.998;0;2.000
01-04 04:41:41;0;0.250;99.501;0;0;0;0;0;1830420;2053500;154692;3856552;0;0;0;0;249;277;2320.032;1102.015;0;0
01-04 04:41:42;0.250;0.250;98.993;0;0;0;0;9.999;1830272;2053648;154692;3856552;0;0;0;0;460;363;9148.327;1373.899;0;0
01-04 04:41:43;0.500;0.500;99.001;0;0;0;0;5.000;1830168;2053752;154692;3856552;0;0;0;0;387;322;2841.021;988.007;0;0
01-04 04:41:44;0;0;100.009;0;0;0;0;0;1830168;2053752;154692;3856552;0;0;0;4.000;231;242;2711.244;940.085;0;1.000
01-04 04:41:45;0.500;0;98.996;0.500;0;0;0;0;1830168;2053752;154692;3856552;0;0;0;27.999;285;318;3277.862;1101.954;0;5.000
01-04 04:41:46;0.250;0;99.503;0.250;0;0;0;2.000;1830168;2053752;154692;3856552;0;0;0;32.001;285;320;2328.059;1094.028;0;3.000
01-04 04:41:47;0.250;1.000;98.491;0;0;0;0;9.999;1829660;2054260;154692;3856552;0;0;0;0;482;397;2517.781;1093.905;0;0
01-04 04:41:48;0.500;0.500;99.507;0;0;0;0;5.000;1829660;2054260;154692;3856552;0;0;0;0;364;328;2120.156;964.071;0;0
01-04 04:41:49;0;1.000;98.498;0;0;0;0;0;1829660;2054260;154692;3856552;0;0;0;4.000;386;377;2191.964;971.984;0;1.000
01-04 04:41:50;0.250;0;99.753;0;0;0;0;0;1829660;2054260;154692;3856552;0;0;0;0;222;246;2440.063;1064.028;0;0
01-04 04:41:51;0.250;0;99.998;0;0;0;0;0;1829660;2054260;154692;3856552;0;0;0;8.000;261;283;4082.914;1101.977;0;2.000
01-04 04:41:52;0.500;0.750;98.244;0;0;0;0;9.999;1829660;2054260;154692;3856552;0;0;0;15.999;508;403;2303.856;1085.932;0;2.000
01-04 04:41:53;0.250;0.500;99.254;0;0;0;0;5.000;1829660;2054260;154692;3856552;0;0;0;0;386;345;2128.095;956.043;0;0
01-04 04:41:54;0;0.250;99.753;0;0;0;0;0;1829660;2054260;154692;3856552;0;0;0;0;215;240;2088.054;948.025;0;0
01-04 04:41:55;0.250;0;99.751;0;0;0;0;0;1829660;2054260;154692;3856552;0;0;0;4.000;261;277;10191.054;1040.005;0;1.000
01-04 04:41:56;0;0;99.499;0;0;0;0;0;1829660;2054260;154692;3856552;0;0;0;0;247;259;11210.881;1085.988;0;0
01-04 04:41:57;0.500;0.750;98.496;0.250;0;0;0;10.000;1829660;2054260;154692;3856552;0;0;0;19.999;542;435;3231.854;1077.951;0;3.000
01-04 04:41:58;0;0.250;99.504;0;0;0;0;5.000;1829660;2054260;154692;3856552;0;0;0;0;381;335;3054.116;1118.042;0;0
01-04 04:41:59;0.250;0.250;99.500;0;0;0;0;0;1829660;2054260;154692;3856552;0;0;0;0;232;260;2155.992;1029.996;0;0
01-04 04:42:00;0.500;0;99.753;0;0;0;0;0;1829660;2054260;154692;3856552;0;0;0;0;226;251;2432.073;1056.032;0;0
01-04 04:42:01;0.250;0.250;99.749;0;0;0;0;0;1829660;2054260;154692;3856552;0;0;0;4.000;264;304;2303.978;1085.990;0;1.000
01-04 04:42:02;0;0.750;98.497;0;0;0;0;10.000;1829660;2054260;154692;3856552;0;0;0;16.000;497;398;2715.919;1077.968;0;2.000
01-04 04:42:03;0.250;0.250;98.999;0;0;0;0;5.000;1829660;2054260;154692;3856552;0;0;0;0;373;346;2079.984;939.993;0;0
01-04 04:42:04;0.250;0;99.755;0;0;0;0;0;1829660;2054260;154692;3856552;0;0;0;0;251;258;2216.119;948.051;0;0
01-04 04:42:05;0.250;1.250;98.747;0;0;0;0;0;1829660;2054260;154692;3856552;0;0;0;12.000;404;378;2399.915;1039.963;0;2.000
01-04 04:42:06;0.250;0;99.748;0;0;0;0;0;1829660;2054260;154692;3856552;0;0;0;4.000;252;296;2343.955;1109.978;0;1.000
01-04 04:42:07;0.250;1.250;98.250;0.500;0;0;0;10.000;1829656;2054260;154696;3856552;0;0;0;44.000;545;435;3864.996;1085.999;0;6.000
01-04 04:42:08;0.250;0;99.503;0;0;0;0;5.000;1829908;2054008;154696;3856552;0;0;0;0;373;343;2080.061;940.027;0;0
01-04 04:42:09;0;0;99.498;0;0;0;0;0;1829908;2054008;154696;3856552;0;0;0;0;225;255;2031.954;923.979;0;0
01-04 04:42:10;0.250;0;99.754;0;0;0;0;0;1829904;2054008;154696;3856556;0;0;0;0;220;246;2546.091;1040.037;0;0
01-04 04:42:11;0.250;0;99.749;0;0;0;0;0;1829904;2054008;154696;3856556;0;0;0;0;269;299;3118.970;1239.988;0;0
01-04 04:42:12;0.500;1.250;98.496;0;0;0;0;10.000;1829904;2054008;154696;3856556;0;0;0;23.999;514;416;2211.921;1085.961;0;4.000
01-04 04:42:13;0.500;0.250;98.247;0;0;0;0;5.000;1829904;2054008;154696;3856556;0;0;0;0;962;1014;17308.426;6991.768;0;0
01-04 04:42:14;0.250;0.250;99.757;0;0;0;0;0;1829904;2054008;154696;3856556;0;0;0;0;364;395;7973.593;2186.163;0;0
01-04 04:42:15;0.250;0;99.748;0;0;0;0;0;1829904;2054008;154696;3856556;0;0;0;0;269;274;2495.951;1135.978;0;0
01-04 04:42:16;0.250;0.250;99.250;0;0;0;0;0;1829904;2054008;154696;3856556;0;0;0;0;498;560;9903.959;3189.987;0;0
01-04 04:42:17;0.750;0.750;97.749;0.500;0;0;0;10.000;1829896;2054008;154704;3856556;0;0;0;43.999;782;625;48520.261;2533.961;0;6.000
01-04 04:42:18;0;0.500;99.501;0;0;0;0;5.000;1829896;2054008;154704;3856556;0;0;0;4.000;499;438;17600.244;1586.022;0;1.000
01-04 04:42:19;0.250;0;100.003;0;0;0;0;0;1829896;2054008;154704;3856556;0;0;0;0;193;221;1952.051;874.023;0;0
01-04 04:42:20;0.250;0;99.497;0;0;0;0;0;1829896;2054008;154704;3856556;0;0;0;0;287;328;3993.888;1567.956;0;0
01-04 04:42:21;0;0.250;99.505;0;0;0;0;0;1829896;2054008;154704;3856556;0;0;0;0;264;306;2312.109;1094.051;0;0
01-04 04:42:22;0.750;1.750;97.495;0;0;0;0;10.000;1829896;2054008;154704;3856556;0;0;0;15.999;625;505;2433.886;1085.949;0;2.000
01-04 04:42:23;0.250;0.500;99.750;0;0;0;0;6.000;1830400;2053504;154704;3856556;0;0;0;0;346;322;2120.010;964.005;0;0
01-04 04:42:24;0;0;99.003;0;0;0;0;0;1829848;2054056;154704;3856556;0;0;0;4.000;248;285;2824.071;1246.032;0;1.000
01-04 04:42:25;0;0;99.999;0;0;0;0;0;1829848;2054056;154704;3856556;0;0;0;0;242;276;2769.978;1063.992;0;0
01-04 04:42:26;0.250;0;99.751;0;0;0;0;0;1829848;2054056;154704;3856556;0;0;0;0;227;263;2296.033;1094.016;0;0
01-04 04:42:27;0.750;1.000;98.495;0.250;0;0;0;10.000;1830204;2053700;154704;3856556;0;0;0;19.999;498;413;2469.879;1077.947;0;3.000
01-04 04:42:28;0;0.500;99.248;0;0;0;0;5.000;1830100;2053804;154704;3856556;0;0;0;0;387;333;2119.955;963.980;0;0
01-04 04:42:29;0.250;0;99.755;0;0;0;0;0;1830100;2053804;154704;3856556;0;0;0;4.000;218;251;2072.107;948.049;0;1.000
01-04 04:42:30;0;0.250;99.751;0;0;0;0;0;1830100;2053804;154704;3856556;0;0;0;0;240;268;2432.023;1056.010;0;0
01-04 04:42:31;0.250;0;99.750;0;0;0;0;0;1830100;2053804;154704;3856556;0;0;0;0;225;266;2320.002;1102.001;0;0
01-04 04:42:32;0.250;1.000;98.256;0.250;0;0;0;10.001;1829744;2054128;154708;3856584;0;0;0;16.001;556;448;2188.138;1078.068;0;2.000
01-04 04:42:33;0;0.750;98.990;0;0;0;0;4.999;1829744;2054128;154708;3856584;0;0;0;0;386;346;2671.729;1141.884;0;0
